class,precision,recall,f1,accuracy,support
plane,0.6394,0.7750,0.7007,0.7750,1000
car,0.8197,0.7500,0.7833,0.7500,1000
bird,0.5545,0.5800,0.5670,0.5800,1000
cat,0.4994,0.3880,0.4367,0.3880,1000
deer,0.5649,0.6750,0.6150,0.6750,1000
dog,0.5496,0.5870,0.5677,0.5870,1000
frog,0.7621,0.7240,0.7426,0.7240,1000
horse,0.7506,0.6170,0.6773,0.6170,1000
ship,0.7077,0.8400,0.7682,0.8400,1000
truck,0.8394,0.6950,0.7604,0.6950,1000
