class,precision,recall,f1,accuracy,support
plane,0.6595,0.7030,0.6805,0.7030,1000
car,0.8237,0.6730,0.7408,0.6730,1000
bird,0.5876,0.4630,0.5179,0.4630,1000
cat,0.4248,0.5140,0.4652,0.5140,1000
deer,0.4682,0.6930,0.5589,0.6930,1000
dog,0.5510,0.5130,0.5313,0.5130,1000
frog,0.7829,0.6490,0.7097,0.6490,1000
horse,0.7219,0.6540,0.6863,0.6540,1000
ship,0.7745,0.7110,0.7414,0.7110,1000
truck,0.6900,0.7280,0.7085,0.7280,1000
